Date,Open,High,Low,Close,Volume,Change,Indi,Foreign,Organ,KOSDAQ_Close,KOSDAQ_Change,USD_KRW_Close,USD_KRW_Change,ATRr_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,OBV,ADX_14,DMP_14,DMN_14
2021-03-29,24100,24150,23500,23500,144649,-0.024896265560165998,0.0,0.0,0.0,954.1,-0.0027,1131.6500244140625,0.0032714489914122957,,,,,,,,,,,,,144649.0,,,
2021-03-30,23550,23900,23350,23400,128188,-0.004255319148936176,0.0,0.0,0.0,958.06,0.0042,1132.3199462890625,0.000591986798521793,,,,,,,,,,,,,16461.0,,,
2021-03-31,23400,23650,22850,22900,184182,-0.021367521367521403,0.0,0.0,0.0,956.17,-0.002,1127.199951171875,-0.004521685883894566,,,,,,,,,,,,,-167721.0,,,
2021-04-01,23250,23250,22700,22750,128320,-0.0065502183406113135,0.0,0.0,0.0,965.78,0.0101,1128.06005859375,0.0007630477813460601,,,,,,,,,,,,,-296041.0,,,
2021-04-02,22850,23350,22550,23250,163442,0.0219780219780219,0.0,0.0,0.0,970.09,0.0045000000000000005,1128.06005859375,0.0007630477813460601,,,,,,,,,,,,,-132599.0,,,
2021-04-05,23250,24950,22950,24650,746557,0.06021505376344094,0.0,0.0,0.0,969.77,-0.0003,1124.1099853515625,-0.0041460799165311535,,,,,,,,,,,,,613958.0,,,
2021-04-06,25100,29200,24000,26900,5632854,0.09127789046653145,0.0,0.0,0.0,968.63,-0.0012,1117.5,-0.005880194498490532,,,,,,,,,,,,,6246812.0,,,
2021-04-07,26450,26900,25600,25600,664726,-0.048327137546468446,0.0,0.0,0.0,973.22,0.004699999999999999,1117.8599853515625,0.00032213454278529063,,,,,,,,,,,,,5582086.0,,,
2021-04-08,25600,27800,25600,27150,1431781,0.060546875,0.0,0.0,0.0,982.02,0.009000000000000001,1115.8399658203125,-0.001807041631081141,,,,,,,,,,,,,7013867.0,,,
2021-04-09,26800,27850,26250,26850,492616,-0.011049723756906049,0.0,0.0,0.0,989.39,0.0075,1115.8399658203125,-0.001807041631081141,,,,,,,,,,,,,6521251.0,,,
2021-04-12,27400,28300,27350,27350,735164,0.01862197392923659,0.0,0.0,0.0,1000.65,0.011399999999999999,1124.449951171875,0.0021299150253331067,,,,,,,,,,,,,7256415.0,,,
2021-04-13,27400,28100,26650,26650,339934,-0.025594149908592323,0.0,0.0,0.0,1010.37,0.0097,1120.68994140625,-0.0033438658267594956,,,,,,,,,,,,,6916481.0,,,
2021-04-14,26900,27600,26450,26750,246360,0.0037523452157599557,0.0,0.0,0.0,1014.42,0.004,1116.1099853515625,-0.0040867289742428925,,,,,,,,,,,,,7162841.0,,,
2021-04-15,26800,27350,26550,26900,165778,0.005607476635514086,0.0,0.0,0.0,1013.9,-0.0005,1115.6700439453125,-0.0003941738825241625,,,,,,,,,,,,,7328619.0,,,
2021-04-16,27350,27350,26550,26600,132085,-0.01115241635687736,0.0,0.0,0.0,1021.62,0.0076,1115.6700439453125,-0.0003941738825241625,1452.1292363457833,,,,,,63.79800520759525,,,,,,7196534.0,,31.360035778387832,8.63531966352899
2021-04-19,26700,26750,25900,26000,143970,-0.022556390977443663,0.0,0.0,0.0,1029.46,0.0077,1114.469970703125,-0.0010577274997660702,1388.0295716415455,,,,,,57.541600671653065,,,,59.3984962406015,,7052564.0,,29.31565024370313,13.057554471856031
2021-04-20,26000,26500,25850,26150,88579,0.005769230769230749,0.0,0.0,0.0,1031.88,0.0024,1116.1099853515625,0.0014715646823599826,1312.1214282208523,,,,,,58.63376603305989,,,,55.6390977443609,,7141143.0,,27.82198434435363,12.78418901382982
2021-04-21,26400,27300,26350,26450,207652,0.011472275334607929,0.0,0.0,0.0,1022.22,-0.009399999999999999,1115.6600341796875,-0.00040314232269256234,1295.954859643877,,,,,,60.80530084309451,,,,54.88721804511278,56.64160401002507,7348795.0,,31.515768176794747,11.65293905441621
2021-04-22,26450,26600,25850,25900,144209,-0.020793950850661602,0.0,0.0,0.0,1025.71,0.0034000000000000002,1118.5899658203125,0.0026261867870702726,1243.0106563120266,,,,,,55.094998477697395,,,,53.32731829573935,54.61787802840434,7204586.0,,29.671704173234794,14.871925633524913
